City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Pacific Palisades,1/25/2011,6.13E+11,Travel and Leisure: Other,Consumer Services,Travel and Leisure,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Nagano,Los Angeles Metro,1,1,1.56217541
San Francisco,1/25/2011,1.13E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Nagano,San Francisco Bay Area,1,1,1.7
New York,1/25/2011,6.12E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,Nagano,New York Metro,1,1,0.8
Livermore,1/25/2011,6.12E+11,Solar Energy,Energy and Utilities,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,First Round,Nagano,San Francisco Bay Area,1,1,7
Seattle,1/25/2011,1.16E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,Nagano,Seattle Metro,1,1,0.89
Baltimore,1/25/2011,65318753382,Surgical Devices,Healthcare,Medical Devices and Equipment,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Later Stage,Nagano,Potomac,1,1,12.6
Mesa,1/25/2011,1.02E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Later Stage,Nagano,,1,1,10.56
Laguna Hills,1/25/2011,72808755640,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Later Stage,Nagano,Orange County,1,1,6
Laguna Hills,1/25/2011,72808753594,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Later Stage,Nagano,Orange County,1,1,29.5
New York,1/25/2011,1.83E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,Nagano,New York Metro,1,1,4.1
Tampa,1/25/2011,74311753642,Managed Care,Healthcare,Healthcare Services,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Second Round,Nagano,,1,1,0.09
Torrance,1/25/2011,3.60E+11,Data Storage,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,Nagano,Los Angeles Metro,1,1,
Newark,1/26/2011,1.10E+11,Automotive Parts,Consumer Goods,Vehicles and Parts,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Later Stage,Toyama,San Francisco Bay Area,1,1,17
New York,1/26/2011,81044753644,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Toyama,New York Metro,1,1,7.51
Sunrise,1/26/2011,4.71E+11,Patient Monitoring/Biofeedback,Healthcare,Medical Devices and Equipment,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,First Round,Toyama,,1,1,21
Memphis,1/26/2011,6.12E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Seed Round,Toyama,,1,1,0.23
Portland,1/26/2011,1.10E+11,Multimedia/Streaming Software,Information Technology,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Corporate,Toyama,,1,1,
Lisle,1/26/2011,1.02E+11,Communications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,Toyama,Chicago Metro,1,1,7
Santa Clara,1/26/2011,61118753654,Design Automation Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Toyama,San Francisco Bay Area,1,1,2
Philadelphia,1/27/2011,6.15E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,First Round,Toyama,,1,1,0.84
New York,1/27/2011,87608753479,Lending,Business and Financial Services,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,Toyama,New York Metro,1,1,15
Seattle,1/27/2011,1.82E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Second Round,Toyama,Seattle Metro,1,1,3.5
New York,1/27/2011,6.12E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Seed Round,Toyama,New York Metro,1,1,0.02
Scotts Valley,1/27/2011,1.83E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Santa Cruz-Watsonville, CA",Northern California,Generating Revenue,Later Stage,Toyama,San Francisco Bay Area,1,1,2
Chicago,1/27/2011,4.71E+11,Online Communities,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Second Round,Toyama,Chicago Metro,1,1,0.5
Pleasanton,1/27/2011,85588753656,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Toyama,San Francisco Bay Area,1,1,26
Evanston,1/27/2011,6.12E+11,Vertical Market Applications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,Toyama,Chicago Metro,1,1,5.65
Aliso Viejo,1/27/2011,99857753954,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Individual,Toyama,Orange County,1,1,2.8
Austin,1/27/2011,87157753834,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Product In Beta Test,Later Stage,Toyama,Austin Metro,1,1,
San Francisco,1/28/2011,6.13E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Ibaraki,San Francisco Bay Area,1,1,6.44
San Francisco,1/28/2011,6.10E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,Ibaraki,San Francisco Bay Area,1,1,10.84
West Henrietta,1/28/2011,3.57E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Rochester, NY",Mid-Atlantic,Product Development,First Round,Ibaraki,,1,1,0.68
Pittsburgh,1/28/2011,65304753922,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Later Stage,Ibaraki,,1,1,1.08
Plymouth,1/28/2011,1.13E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Detroit-Warren-Livonia, MI",Midwest East,Product Development,Later Stage,Ibaraki,,1,1,6.7
Newark,1/28/2011,85595753900,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Ibaraki,San Francisco Bay Area,1,1,33.79
Sunnyvale,1/28/2011,67886753902,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Ibaraki,San Francisco Bay Area,1,1,5
Palo Alto,1/31/2011,6.15E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,First Round,Ibaraki,San Francisco Bay Area,1,1,2.5
Boulder,1/31/2011,6.06E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Boulder, CO",Mountain,Generating Revenue,Later Stage,Ibaraki,,1,1,4.14
Pleasanton,1/31/2011,71052753193,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Ibaraki,San Francisco Bay Area,1,1,8.6
Austin,1/31/2011,92532753570,Advertising/Marketing,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,Ibaraki,Austin Metro,1,1,4.6
South Jordan,1/31/2011,71888754257,Incubators/Business Development,Business and Financial Services,Business Support Services,"Salt Lake City, UT",Mountain,Profitable,Second Round,Ibaraki,,1,1,6
Glen Mills,1/31/2011,6.12E+11,Home Improvement,Consumer Goods,Household and Office Goods,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Seed Round,Ibaraki,,1,1,0.25
Chicago,1/31/2011,6.12E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,First Round,Ibaraki,Chicago Metro,1,1,0.73
San Francisco,1/31/2011,6.12E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Ibaraki,San Francisco Bay Area,1,1,17.5
New York,1/31/2011,1.83E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,Ibaraki,New York Metro,1,1,3
Dripping Springs,1/31/2011,6.12E+11,Exploration Services/Equipment,Energy and Utilities,Non-Renewable Energy,"Austin-Round Rock, TX",South Central,Product Development,Later Stage,Gifu,Austin Metro,1,1,12
Pleasanton,1/31/2011,83572753615,Drug Development Technologies,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Gifu,San Francisco Bay Area,1,1,20.62
Sunnyvale,1/31/2011,1.14E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Gifu,San Francisco Bay Area,1,1,35
Atlanta,1/31/2011,60450759202,Business Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,ACQ Financing,Gifu,,1,1,2.2
Waltham,1/31/2011,6.12E+11,Database Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Gifu,Boston Metro,1,1,
Palo Alto,1/31/2011,6.14E+11,Multimedia/Streaming Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,Gifu,San Francisco Bay Area,1,1,
San Francisco,1/31/2011,6.12E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,Gifu,San Francisco Bay Area,1,1,2.25
Atlanta,1/31/2011,3.55E+11,Business Applications Software,Information Technology,Software,"Atlanta-Sandy Springs-Marietta, GA",South East,Profitable,Later Stage,Gifu,,1,1,5.25
Marina del Rey,1/31/2011,1.11E+11,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,Gifu,Los Angeles Metro,1,1,15
Arlington,1/31/2011,1.14E+11,Educational/Training Software,Information Technology,Software,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,Gifu,Potomac,1,1,0.59
San Francisco,1/31/2011,6.05E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,Gifu,San Francisco Bay Area,1,1,19.05
Woodbridge,1/31/2011,6.12E+11,Recreational/Home Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,Gifu,New York Metro,1,1,0.3
San Francisco,1/31/2011,6.13E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Seed Round,Gifu,San Francisco Bay Area,1,1,0.02
Kansas City,2/01/2011,81662753750,Lending,Business and Financial Services,Financial Institutions and Services,"Kansas City, MO-KS",Midwest Central,Generating Revenue,Later Stage,Gifu,,1,1,22.77
San Diego,2/01/2011,1.00E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Later Stage,Gifu,San Diego Metro,1,1,5.48
Los Angeles,2/01/2011,6.12E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,Gifu,Los Angeles Metro,1,1,2
Cambridge,2/01/2011,6.13E+11,Entertainment,Consumer Services,Consumer Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,Gifu,Boston Metro,1,1,1
Peachtree City,2/01/2011,62156754054,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Atlanta-Sandy Springs-Marietta, GA",South East,Generating Revenue,Later Stage,Gifu,,1,1,20.84
Sunnyvale,2/01/2011,65516754039,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Pre-Clinical Trials,Second Round,Gifu,San Francisco Bay Area,1,1,2.17
San Jose,2/01/2011,95724753878,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,Gifu,San Francisco Bay Area,1,1,5.21
Chelmsford,2/01/2011,66425758205,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,Iwate,Boston Metro,1,1,5
Vancouver,2/01/2011,63267761468,Internet Service Providers,Information Technology,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,Iwate,,1,1,
Nashua,2/02/2011,6.13E+11,Data Management Services,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,Iwate,,1,1,8.3
Santa Monica,2/02/2011,6.12E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,First Round,Iwate,Los Angeles Metro,1,1,2
Mountain View,2/02/2011,72730754827,Advertising/Marketing,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,6
Reston,2/02/2011,3.56E+11,Project/Document Collaboration,Business and Financial Services,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,Iwate,Potomac,1,1,1.52
New York,2/02/2011,6.12E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,Iwate,New York Metro,1,1,0.69
New York,2/02/2011,6.12E+11,Search Portals,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,First Round,Iwate,New York Metro,1,1,1
San Francisco,2/02/2011,6.12E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,7
San Francisco,2/02/2011,93251754326,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Individual,Iwate,San Francisco Bay Area,1,1,
San Francisco,2/02/2011,1.14E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,4
Bedford,2/02/2011,1.12E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Later Stage,Iwate,Boston Metro,1,1,14
Cambridge,2/02/2011,3.58E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,Iwate,Boston Metro,1,1,6
Morgan Hill,2/02/2011,55088754112,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,Iwate,San Francisco Bay Area,1,1,14.43
Seattle,2/02/2011,1.83E+11,Network/Systems Management Software,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Second Round,Iwate,Seattle Metro,1,1,2
Mountain View,2/02/2011,6.12E+11,Software: Other,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,Iwate,San Francisco Bay Area,1,1,2
Atlanta,2/03/2011,6.12E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Startup,First Round,Iwate,,1,1,
Oakland,2/03/2011,73706753957,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Later Stage,Iwate,San Francisco Bay Area,1,1,5.75
Cambridge,2/03/2011,6.12E+11,Data Management Services,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Seed Round,Iwate,Boston Metro,1,1,1
San Francisco,2/03/2011,6.12E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,Iwate,San Francisco Bay Area,1,1,2
